trial,description,rank_metric,rank_score,val_return,val_sortino,val_wr,val_profitable_pct,train_return,train_sortino,train_wr,train_steps,elapsed_s,error,holdout_error,market_validation_error,replay_eval_error,holdout_robust_score,holdout_return_mean_pct,holdout_return_p25_pct,holdout_return_worst_pct,holdout_sortino_p25,holdout_max_drawdown_worst_pct,holdout_negative_return_rate,holdout_median_return_pct,holdout_p10_return_pct,holdout_median_sortino,holdout_p90_max_drawdown_pct,market_return_pct,market_sortino,market_max_drawdown_pct,market_trade_count,market_goodness_score,replay_daily_return_pct,replay_daily_sortino,replay_daily_max_drawdown_pct,replay_daily_trade_count,replay_hourly_return_pct,replay_hourly_sortino,replay_hourly_max_drawdown_pct,replay_hourly_trade_count,replay_hourly_order_count,replay_hourly_policy_return_pct,replay_hourly_policy_sortino,replay_hourly_policy_max_drawdown_pct,replay_hourly_policy_trade_count,replay_hourly_policy_order_count,hidden_size,lr,ent_coef,weight_decay,fill_slippage_bps,obs_norm,anneal_lr,anneal_ent,anneal_clip,lr_schedule,arch,fee_rate,trade_penalty,drawdown_penalty,downside_penalty,smooth_downside_penalty,smooth_downside_temperature,smoothness_penalty,gamma
10,stock_ent_08,val_return,0.1708,0.1708,0.9,0.6042,100.0,73.9342,18.17,0.72,25329664,300.34908390045166,,"Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 483, in <module> main() ~~~~^^ File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 382, in main raise ValueError(f""MKTD too short for eval_ho...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.08,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
11,stock_h512,val_return,-0.3287,-0.3287,-1.72,0.475,0.0,93.9455,19.11,0.74,31817728,300.3174047470093,,"Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 483, in <module> main() ~~~~^^ File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 382, in main raise ValueError(f""MKTD too short for eval_ho...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
12,stock_h1024,val_return,0.228,0.228,1.46,0.6038,100.0,104.3535,19.52,0.74,31391744,300.4758071899414,,"Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 483, in <module> main() ~~~~^^ File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 382, in main raise ValueError(f""MKTD too short for eval_ho...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
13,stock_slip_5bps,val_return,0.0645,0.0645,0.51,0.4677,100.0,100.1373,20.03,0.75,30146560,300.593222618103,,"Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 483, in <module> main() ~~~~^^ File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 382, in main raise ValueError(f""MKTD too short for eval_ho...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,5.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
14,stock_slip_10bps,val_return,0.5119,0.5119,1.99,0.5679,100.0,94.1183,18.83,0.75,27459584,300.35046124458313,,"Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 483, in <module> main() ~~~~^^ File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 382, in main raise ValueError(f""MKTD too short for eval_ho...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,10.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
15,stock_slip_15bps,val_return,-0.4777,-0.4777,-2.9,0.4697,0.0,101.4734,19.71,0.77,28246016,300.48067593574524,,"Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 483, in <module> main() ~~~~^^ File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 382, in main raise ValueError(f""MKTD too short for eval_ho...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,15.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
16,stock_cosine_lr,val_return,-0.0238,-0.0238,0.75,0.5714,0.0,53.9096,16.09,0.72,28868608,300.5210773944855,,"Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 483, in <module> main() ~~~~^^ File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 382, in main raise ValueError(f""MKTD too short for eval_ho...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,cosine,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
17,stock_no_anneal,val_return,0.2672,0.2672,1.66,0.597,100.0,105.9348,20.29,0.75,28966912,300.4688150882721,,"Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 483, in <module> main() ~~~~^^ File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 382, in main raise ValueError(f""MKTD too short for eval_ho...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,False,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
18,stock_high_gamma_999,val_return,0.1461,0.1461,1.24,0.4828,100.0,56.4026,16.13,0.73,34439168,300.3300848007202,,"Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 483, in <module> main() ~~~~^^ File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 382, in main raise ValueError(f""MKTD too short for eval_ho...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.999
19,stock_gamma_995,val_return,-0.1414,-0.1414,-0.57,0.5385,0.0,81.5859,18.55,0.73,32145408,300.4131700992584,,"Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 483, in <module> main() ~~~~^^ File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 382, in main raise ValueError(f""MKTD too short for eval_ho...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.995
20,stock_drawdown_pen,val_return,0.0779,0.0779,0.61,0.4792,100.0,157.4027,20.78,0.76,32178176,300.4416115283966,,"Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 483, in <module> main() ~~~~^^ File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 382, in main raise ValueError(f""MKTD too short for eval_ho...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.03,0.05,0.0,0.0,0.02,0.0,0.99
21,stock_smooth_pen,val_return,0.1836,0.1836,0.87,0.5424,100.0,141.9267,21.86,0.76,33685504,300.26154351234436,,"Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 483, in <module> main() ~~~~^^ File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 382, in main raise ValueError(f""MKTD too short for eval_ho...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.02,0.0,0.0,0.5,0.02,0.0,0.99
22,stock_reward_scale_5,val_return,0.0658,0.0658,1.22,0.451,100.0,103.9312,20.23,0.77,33554432,300.387900352478,,"Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 483, in <module> main() ~~~~^^ File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 382, in main raise ValueError(f""MKTD too short for eval_ho...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.03,0.0,0.0,0.0,0.02,0.0,0.99
23,stock_reward_scale_20,val_return,-0.1675,-0.1675,-0.78,0.4776,0.0,98.0252,16.22,0.79,35028992,300.2858066558838,,"Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 483, in <module> main() ~~~~^^ File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 382, in main raise ValueError(f""MKTD too short for eval_ho...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.03,0.0,0.0,0.0,0.02,0.0,0.99
24,stock_obs_norm,val_return,-0.1051,-0.1051,-1.25,0.3636,0.0,10522.5508,55.44,0.99,26968064,300.2382380962372,,"Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 483, in <module> main() ~~~~^^ File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 382, in main raise ValueError(f""MKTD too short for eval_ho...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,True,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
25,stock_obs_norm_tp05,val_return,0.2284,0.2284,1.05,1.0,100.0,8923.9053,50.51,0.99,28114944,300.306955575943,,"Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 483, in <module> main() ~~~~^^ File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 382, in main raise ValueError(f""MKTD too short for eval_ho...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,True,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
26,stock_wd_01,val_return,0.547,0.547,2.03,0.6964,100.0,103.9844,18.36,0.74,33423360,300.38139605522156,,"Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 483, in <module> main() ~~~~^^ File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 382, in main raise ValueError(f""MKTD too short for eval_ho...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
27,stock_wd_05,val_return,-0.4347,-0.4347,-3.15,0.2571,0.0,71.9101,17.02,0.72,33718272,300.4190056324005,,"Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 483, in <module> main() ~~~~^^ File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 382, in main raise ValueError(f""MKTD too short for eval_ho...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.05,0.0,False,True,False,False,none,mlp,0.001,0.0,0.0,0.0,0.0,0.02,0.0,0.99
28,stock_reg_combo,val_return,-0.0774,-0.0774,0.15,0.5,0.0,7000.1475,48.34,0.98,26673152,300.5903289318085,,"Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 483, in <module> main() ~~~~^^ File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 382, in main raise ValueError(f""MKTD too short for eval_ho...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.05,10.0,True,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
29,stock_robust_champion,val_return,0.3055,0.3055,1.09,1.0,100.0,4609.1313,47.97,0.99,26148864,300.41020917892456,,"Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 483, in <module> main() ~~~~^^ File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 382, in main raise ValueError(f""MKTD too short for eval_ho...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.005,5.0,True,True,False,False,cosine,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
30,stock_sortino_low_ent_tp,val_return,0.0982,0.0982,0.92,0.6087,100.0,4.772,7.11,0.84,33718272,300.37993264198303,,"Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 483, in <module> main() ~~~~^^ File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 382, in main raise ValueError(f""MKTD too short for eval_ho...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.01,0.0,0.0,False,True,False,False,none,mlp,0.001,0.1,0.0,0.0,0.0,0.02,0.0,0.99
31,stock_cosine_slip,val_return,0.358,0.358,1.34,0.5,100.0,80.4606,19.04,0.81,34701312,300.36504888534546,,"Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 483, in <module> main() ~~~~^^ File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 382, in main raise ValueError(f""MKTD too short for eval_ho...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,10.0,False,True,False,False,cosine,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
32,stock_trade_pen_05_s123,val_return,0.0202,0.0202,0.5,0.5,100.0,137.1021,21.33,0.79,33849344,300.2510552406311,,"Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 483, in <module> main() ~~~~^^ File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 382, in main raise ValueError(f""MKTD too short for eval_ho...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
33,stock_trade_pen_05_s7,val_return,0.0544,0.0544,0.45,0.5135,100.0,155.1447,22.64,0.79,33652736,300.3224411010742,,"Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 483, in <module> main() ~~~~^^ File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 382, in main raise ValueError(f""MKTD too short for eval_ho...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.0,0.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
34,stock_h512_reg,val_return,0.2289,0.2289,1.31,0.6111,100.0,4233.7979,44.18,0.98,28049408,300.5151722431183,,"Traceback (most recent call last): File ""<frozen runpy>"", line 198, in _run_module_as_main File ""<frozen runpy>"", line 88, in _run_code File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 483, in <module> main() ~~~~^^ File ""/nvme0n1-disk/code/stock-prediction/pufferlib_market/evaluate_holdout.py"", line 382, in main raise ValueError(f""MKTD too short for eval_ho...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,0.0003,0.05,0.05,10.0,True,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
